cycle,px,py,objective,best_val,evaluated_count,no_improvement_count,status
1,12,9,3.480817351034508,3.480817351034508,2,0,improved
2,17,16,2.981420000377715,2.981420000377715,3,0,improved
3,16,4,3.5756446378224145,2.981420000377715,4,1,no_improvement
4,1,1,9.884851863760804,2.981420000377715,5,2,no_improvement
5,15,15,2.82939406018371,2.82939406018371,6,0,improved
6,15,14,3.0194632994850163,2.82939406018371,7,1,no_improvement
7,16,15,2.9992154934710076,2.82939406018371,8,2,no_improvement
8,17,14,3.328493642492664,2.82939406018371,9,3,no_improvement
9,14,13,3.0426419877556232,2.82939406018371,10,4,no_improvement
10,16,16,2.82187639112928,2.82187639112928,11,0,improved
11,14,11,3.4335691553796353,2.82187639112928,12,1,no_improvement
12,14,7,3.5461592600769296,2.82187639112928,13,2,no_improvement
13,15,12,3.3990063018444587,2.82187639112928,14,3,no_improvement
14,16,14,3.185288454065024,2.82187639112928,15,4,no_improvement
15,11,10,3.135905583164564,2.82187639112928,16,5,no_improvement
16,13,10,3.463080484818072,2.82187639112928,17,6,no_improvement
17,16,6,3.575657842678033,2.82187639112928,18,7,no_improvement
18,16,13,3.363273640615312,2.82187639112928,19,8,no_improvement
19,16,12,3.501235463323775,2.82187639112928,20,9,no_improvement
20,11,6,3.479901680856151,2.82187639112928,21,10,no_improvement
