cycle,px,py,objective,best_val,evaluated_count,no_improvement_count,status
1,12,2,3.5060040430794834,3.5060040430794834,2,0,improved
2,1,1,9.884851863760804,3.5060040430794834,3,1,no_improvement
3,14,14,2.837970119175829,2.837970119175829,4,0,improved
4,15,14,3.0194632994850163,2.837970119175829,5,1,no_improvement
5,14,10,3.5330269681378574,2.837970119175829,6,2,no_improvement
6,14,6,3.546165611483165,2.837970119175829,7,3,no_improvement
7,12,12,2.8594466153081886,2.837970119175829,8,4,no_improvement
8,16,14,3.185288454065024,2.837970119175829,9,5,no_improvement
9,14,12,3.252993199802094,2.837970119175829,10,6,no_improvement
10,12,6,3.5059832183978394,2.837970119175829,11,7,no_improvement
11,12,10,3.3326082264920154,2.837970119175829,12,8,no_improvement
12,16,15,2.9992154934710076,2.837970119175829,13,9,no_improvement
13,16,12,3.501235463323775,2.837970119175829,14,10,no_improvement
